Descrição dos alimentos,Energia (Kcal),Energia (KJ),Proteína (g),Lipídeos (g),Carboidratos (g),Cálcio (mg),Ferro (mg),Retinol (mcg),Vitamina C (mg),Sódio  (mg),Restrições
"Grão-de-bico, cru",354.70,1484.08,21.23,5.43,57.88,114.36,5.38,6.70,0.00,5.00,0
"Graviola, crua",61.62,257.83,0.85,0.21,15.84,40.12,0.17,0.20,19.14,4.16,0
"Graviola, polpa, congelada",38.27,160.14,0.57,0.14,9.78,5.98,0.10,0.00,10.48,03.05,0
"Graviola, polpa, congelada ",41.00,171.54,0.57,0.14,9.79,5.98,0.11,0.00,10.50,03.05,0
"Guandu, cru",344.13,1439.86,18.96,2.13,64.00,129.34,1.94,0.00,1.47,2.00,0
"Hambúrguer, bovino, cru",214.84,898.87,13.16,16.18,4.15,34.06,1.89,0.00,0.00,869.00,2
Hortelã ,1.00,4.18,0.00,0.00,0.20,2.00,0.08,0.00,0.00,1.00,0
"Inhame, cru",96.70,404.59,02.05,0.21,23.23,11.80,0.36,0.00,5.62,0.00,0
Iogurte de qualquer sabor ,98.69,412.92,3.46,3.47,14.62,120.93,0.09,29.65,4.15,44.78,2
Iogurte de qualquer sabor light,102.00,426.77,4.37,01.08,19.05,152.00,0.07,10.00,0.70,58.00,2
Iogurte desnatado,56.00,234.30,5.73,0.18,7.68,199.00,0.09,2.00,0.90,77.00,0
Iogurte natural,61.00,255.22,3.47,3.25,4.66,121.00,0.05,27.00,0.50,46.00,0
"Iogurte, integral (média de diferentes sabores)",68.00,284.51,3.00,1.63,10.30,93.60,0.38,0.00,0.00,45.40,0
"Iogurte, integral, coco",68.00,284.51,3.00,1.63,10.30,92.20,0.28,0.00,0.00,43.00,2
"Iogurte, natural",51.49,215.43,04.06,03.04,1.92,143.10,0.00,22.50,0.93,52.00,0
"Iogurte, natural, desnatado",41.49,173.61,3.83,0.32,5.77,156.96,0.00,16.00,0.35,60.00,0
"Iogurte, sabor abacaxi",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2
"Iogurte, sabor morango",69.57,291.06,2.71,2.33,9.69,101.03,0.00,27.03,0.00,38.00,2
"Iogurte, sabor pêssego",67.85,283.88,2.53,2.34,9.43,95.05,0.05,21.28,0.00,37.00,2
"Iogurte, soja (média de diferentes amostras)",50.00,209.20,2.82,0.59,8.24,707.00,4.61,0.00,0.00,205.00,2
"Jabuticaba, crua",58.05,242.89,0.61,0.13,15.26,8.35,0.09,0.00,16.17,0.00,0
"Jaca, crua",87.92,367.86,1.40,0.27,22.50,11.25,0.38,29.70,14.82,1.80,0
"Jambo, cru",26.91,112.60,0.89,0.07,6.49,13.80,0.14,25.00,3.77,21.66,0
"Jamelão, cru",41.01,171.58,0.55,0.11,10.63,03.09,0.05,8.00,27.07,1.37,0
Jenipapo,113.00,472.79,5.20,0.30,25.70,40.00,3.60,30.00,33.00,0.00,0
"Jiló, cru",27.37,114.50,1.40,0.22,6.19,19.97,0.34,13.00,6.79,0.00,0
"Jurubeba, crua",125.81,526.40,4.41,3.91,23.06,151.02,0.95,0.00,13.83,0.77,0
"Kiwi, cru",51.14,213.95,1.34,0.63,11.50,23.91,0.25,5.00,70.78,0.00,0
"Lambari, congelado, cru",130.84,547.44,16.81,6.55,0.00,1181.28,0.91,4.31,0.00,47.92,0
"Lambari, fresco, cru",151.60,634.29,15.65,9.40,0.00,590.27,0.63,0.00,0.00,41.11,0
"Laranja e acerola, suco natural (néctar), c/ açúcar refinado",55.00,230.12,0.58,0.09,13.00,8.51,0.01,19.20,182.00,0.95,2
"Laranja e acerola, suco natural (néctar), s/ açúcar ",28.00,117.15,0.62,0.10,6.22,8.90,0.00,20.80,197.00,0.07,0
"Laranja e mamão, suco natural (néctar), c/ açúcar refinado",58.00,242.67,0.54,0.08,13.70,6.78,0.03,15.30,54.70,1.20,2
"Laranja e mamão, suco natural (néctar), s/ açúcar ",29.00,121.34,0.58,0.08,6.38,07.06,0.03,16.60,59.40,0.27,0
"Laranja, baía, crua",45.44,190.11,0.98,0.10,11.47,35.41,0.14,4.00,56.87,0.00,0
"Laranja, baía, suco",36.65,153.34,0.65,0.00,8.70,5.93,0.06,4.00,94.48,0.00,0
"Laranja, da terra, crua",51.47,215.36,01.08,0.19,12.86,51.08,0.15,0.00,34.68,0.83,0
"Laranja, da terra, suco",40.96,171.36,0.67,0.14,9.57,13.39,0.09,5.00,44.32,0.00,0
"Laranja, lima, crua",45.70,191.21,01.06,0.08,11.53,31.47,0.12,0.00,43.46,1.11,0
"Laranja, lima, suco",39.34,164.58,0.71,0.12,9.17,7.74,0.00,0.00,41.30,0.00,0
"Laranja, mamão, pêra e maçã, suco natural (néctar), c/ açúcar refinado",68.00,284.51,0.58,0.14,16.30,7.96,0.06,15.20,51.70,1.32,2
"Laranja, mamão, pêra e maçã, suco natural (néctar), s/ açúcar",39.00,163.18,0.61,0.16,9.16,8.34,0.06,16.50,56.10,0.39,0
"Laranja, pêra, crua",36.77,153.86,01.04,0.13,8.95,21.89,0.09,2.00,53.73,0.00,0
"Laranja, pêra, suco",32.71,136.86,0.74,0.07,7.55,7.37,0.00,0.00,73.34,0.00,0
"Laranja, Seleta, in natura, Citrus aurantium L.",52.00,217.57,0.83,0.36,12.80,34.80,0.14,2.96,55.00,1.00,0
"Laranja, valência, crua",46.11,192.92,0.77,0.16,11.72,33.74,0.09,0.00,47.85,0.63,0
"Laranja, valência, suco",36.20,151.45,0.48,0.12,8.55,09.08,0.00,0.00,0.00,0.00,0
"Lasanha, massa fresca, cozida",163.76,685.19,5.81,1.16,32.52,9.97,1.19,0.00,0.00,206.77,0
"Lasanha, massa fresca, crua",220.31,921.76,07.01,1.34,45.06,16.55,1.87,0.00,0.00,666.71,0
Leite achocolatado diet,73.29,306.65,3.48,3.51,07.09,147.69,0.17,26.86,2.36,71.79,2
Leite de soja em pó,408.33,1708.45,32.85,13.22,42.13,182.41,8.94,0.61,2.64,1263.13,0
"Leite, condensado",312.57,1307.80,7.67,6.74,57.00,246.27,0.13,52.95,2.14,94.00,2
"Leite, de cabra",66.42,277.88,03.07,3.75,5.25,112.25,0.10,34.74,0.00,74.00,0
"Leite, de coco",166.16,695.21,01.01,18.36,2.19,5.85,0.46,0.00,0.00,44.00,0
"Leite, de vaca, achocolatado",82.82,346.52,2.10,2.17,14.16,69.79,0.46,38.94,3.26,72.00,2
"Leite, de vaca, desnatado, pó",361.61,1512.97,34.69,0.93,53.04,1363.17,0.93,299.46,0.00,432.00,0
"Leite, de vaca, desnatado, UHT",37.00,154.81,3.12,0.40,5.14,133.81,0.08,10.90,0.00,51.00,0
"Leite, de vaca, integral",65.00,271.96,2.93,3.24,5.92,108.00,0.08,49.70,0.00,63.80,0
"Leite, de vaca, integral, pó",496.65,2077.98,25.42,26.90,39.18,890.27,0.52,361.06,0.00,323.00,0
"Leite, fermentado",69.62,291.30,1.89,0.10,15.67,71.53,0.00,0.00,0.49,33.00,2
"Lentilha, crua",339.14,1418.97,23.15,0.77,62.00,53.52,07.05,0.00,0.00,0.00,0
"Limão, cravo, suco",14.10,59.01,0.33,0.00,5.25,10.18,0.08,0.00,32.78,0.00,0
"Limão, galego, suco",22.23,92.99,0.57,0.07,7.32,5.26,0.05,2.00,34.50,0.00,0
"Limão, tahiti, cru",31.82,133.13,0.94,0.14,11.08,50.98,0.18,0.00,38.24,1.25,0
"Linguiça (suína, bovina, mista, etc.) (crua)",396.00,1656.86,13.80,36.25,2.70,10.00,1.13,0.00,0.00,805.00,2
"Linguiça, calabresa, fininha, crua",256.00,1071.10,18.00,20.00,1.00,6.94,1.00,0.00,0.00,840.00,2
"Lingüiça, frango, crua",218.11,912.57,14.24,17.44,0.00,10.84,0.47,0.00,0.00,1126.00,2
"Lingüiça, porco, crua",227.20,950.62,16.06,17.58,0.00,6.13,0.44,0.00,0.00,1176.00,2
"Linhaça, semente",495.10,2071.48,14.08,32.25,43.31,211.50,4.70,0.00,0.00,9.00,0
"Maçã, Argentina, com casca, crua",62.53,261.63,0.23,0.25,16.59,3.39,0.05,4.00,1.49,1.32,0
"Maçã, Fuji, com casca, crua",55.52,232.28,0.29,0.00,15.15,1.92,0.09,4.00,2.41,0.00,0
"Macarrão, trigo, cru",371.12,1552.78,10.00,1.30,77.94,17.30,0.88,0.00,0.00,7.17,0
"Macarrão, trigo, cru, com ovos",370.57,1550.45,10.32,1.97,76.62,19.45,0.92,0.00,0.00,14.74,0
"Macaúba, crua",404.28,1691.52,02.08,40.66,13.95,66.53,0.81,0.00,13.44,0.65,0
"Maionese, tradicional com ovos",302.15,1264.21,0.58,30.50,7.90,3.48,0.10,8.00,0.00,787.00,1
"Mamão verde, doce em calda, drenado",209.38,876.03,0.32,0.10,57.64,12.44,0.15,0.00,0.00,4.74,2
"Mamão, doce em calda, drenado",195.63,818.51,0.19,0.07,54.00,20.01,0.11,0.00,3.90,2.91,2
"Mamão, Formosa, cru",45.34,189.71,0.82,0.12,11.55,24.87,0.23,78.00,78.53,3.26,0
"Mamão, Papaia, cru",40.16,168.02,0.46,0.12,10.44,22.42,0.19,77.00,82.21,1.63,0
"Mamão, suco natural (néctar), c/ açúcar refinado ",42.00,175.73,0.30,0.13,10.40,9.33,0.12,70.10,40.20,1.83,2
"Mamão, suco natural (néctar), s/ açúcar",24.00,100.42,0.30,0.14,5.65,9.64,0.12,73.80,42.30,1.29,0
"Mandioca, crua",151.42,633.53,1.13,0.30,36.17,15.19,0.27,3.00,16.53,2.15,0
"Mandioca, farofa, temperada",405.69,1697.42,02.06,9.12,80.30,65.69,1.36,0.00,0.00,574.51,0
"Manga, Haden, crua",63.50,265.69,0.41,0.26,16.66,11.66,0.10,0.00,17.41,0.55,0
"Manga, Palmer, crua",72.49,303.28,0.41,0.17,19.35,11.64,0.09,0.00,65.52,1.86,0
"Manga, polpa, congelada",48.31,202.11,0.38,0.23,12.52,7.12,0.09,0.00,24.90,6.73,0
"Manga, suco natural (néctar), c/ açúcar refinado ",40.00,167.36,0.17,0.10,9.74,2.92,0.05,89.70,09.09,0.89,2
"Manga, suco natural (néctar), s/ açúcar",21.00,87.86,0.17,0.10,05.04,2.88,0.04,94.40,9.57,0.30,0
"Manga, Tommy Atkins, crua",50.69,212.10,0.86,0.22,12.77,7.64,0.08,100.00,7.94,0.00,0
Mangaba,43.00,179.91,0.70,0.30,10.50,41.00,2.80,30.00,33.00,0.00,0
"Manjericão, cru",21.15,88.48,1.99,0.39,3.64,210.92,0.97,1035.00,2.34,3.89,0
"Manteiga, com sal",725.97,3037.45,0.41,82.36,0.06,9.42,0.15,754.00,0.00,578.69,0
"Manteiga, sem sal",757.54,3169.55,0.40,86.04,0.00,3.61,0.00,754.00,0.00,3.85,0
"Maracujá, cru",68.44,286.35,1.99,2.10,12.26,5.39,0.56,70.00,19.84,1.58,0
"Maracujá, polpa, congelada",38.76,162.17,0.81,0.18,9.60,4.61,0.29,78.00,7.26,8.10,0
"Maracujá, polpa, congelada",43.00,179.91,0.82,0.18,9.60,4.61,0.30,78.00,7.26,8.10,0
"Maracujá, suco concentrado, envasado",41.97,175.59,0.77,0.19,9.64,4.16,0.35,0.00,13.68,21.69,0
"Margarina com óleo hidrogenado, com sal (65% de lipídeos)",596.00,2493.66,0.00,674.00,0.00,6.00,0.10,0.00,0.00,894.00,1
"Margarina, com óleo hidrogenado, sem sal (80% de lipídeos)",723.00,3025.03,0.00,81.70,0.00,3.00,0.10,0.00,0.00,78.00,1
"Margarina, com óleo interesterificado, com sal (65%de lipídeos)",594.45,2487.19,0.00,67.25,0.00,4.54,0.00,385.39,0.00,560.80,2
"Margarina, com óleo interesterificado, sem sal (65% de lipídeos)",593.14,2481.69,0.00,67.10,0.00,4.96,0.08,245.10,0.00,33.19,2
Maria mole,301.24,1260.37,3.81,0.19,73.55,13.36,0.39,0.00,0.00,15.00,2
"Maria mole, coco queimado",306.63,1282.95,3.93,0.09,75.06,19.46,0.47,0.00,0.00,14.00,2
Marmelada,257.24,1076.30,0.40,0.14,70.76,11.32,0.73,1.00,0.00,11.00,2
"Massa, fresca, crua",278.00,1163.15,10.80,3.93,51.30,117.00,2.63,0.00,0.00,1084.00,0
"Maxixe, cru",13.75,57.52,1.39,0.07,2.73,20.87,0.35,0.00,9.63,10.99,0
"Mel, de abelha",309.24,1293.87,0.00,0.00,84.03,10.20,0.25,0.00,0.74,6.00,2
Melado,296.51,1240.58,0.00,0.00,76.62,102.06,5.39,0.00,0.00,4.00,2
"Melancia e acerola, suco natural (néctar), c/ açúcar refinado",47.00,196.65,0.50,0.10,11.20,10.80,0.11,84.70,263.00,0.93,2
"Melancia e acerola, suco natural (nectar), s/ açúcar ",22.00,92.05,0.52,0.11,4.86,11.30,0.10,90.90,283.00,0.13,0
"Melancia, crua",32.61,136.43,0.88,0.00,8.14,7.72,0.23,36.60,6.15,0.00,0
"Melão, cru",29.37,122.88,0.68,0.00,7.53,2.86,0.23,116.00,8.68,11.17,0
"Melão, suco natural (néctar), c/ açúcar refinado",33.00,138.07,0.33,0.08,7.93,1.49,0.11,0.87,3.63,5.27,2
"Melão, suco natural (néctar), s/ açúcar",14.00,58.58,0.34,0.09,3.14,1.39,0.11,0.92,3.82,4.91,0
"Merluza, filé, cru",89.13,372.92,16.61,02.02,0.00,20.40,0.19,0.00,0.00,79.50,0
"Mexerica, Murcote, crua",57.59,240.97,0.88,0.13,14.86,33.07,0.07,0.00,21.80,1.17,0
"Mexerica, Rio, crua",36.87,154.27,0.65,0.13,9.34,17.18,0.09,0.00,111.97,1.82,0
Milho (em grão) cru,160.14,670.03,3.32,7.18,25.11,3.15,0.45,35.00,6.20,244.96,0
"Milho, amido, cru",361.37,1511.96,0.60,0.00,87.15,01.06,0.13,0.00,0.00,08.08,0
"Milho, fubá, cru",353.48,1478.97,7.21,1.90,78.87,2.67,0.85,0.00,0.00,0.00,0
"Milho, pipoca, grãos cru",355.00,1485.32,10.10,3.48,76.40,7.10,2.62,15.80,0.00,33.80,0
"Milho, verde, cru",138.17,578.09,6.59,0.61,28.56,1.61,0.41,41.00,0.00,1.12,0
"Milho, verde, enlatado, drenado",97.56,408.21,3.23,2.35,17.14,2.17,0.59,46.00,1.74,260.35,3
"Mingau tradicional, pó",373.42,1562.40,0.58,0.37,89.34,522.05,41.99,1533.24,0.00,14.86,1
Mini pizza semi pronta (crua),252.49,1056.42,10.17,8.22,33.73,166.42,2.22,27.21,1.93,444.42,0
Moela de galinha ou frango,31.47,131.67,1.61,01.06,3.64,17.00,3.19,0.00,0.00,56.00,0
"Molho, mostarda",61.00,255.22,3.74,3.74,5.83,63.00,1.61,0.00,0.30,1104.00,1
"Molho, p/ salada, c/ salsa, suco de limão, azeite de oliva, c/ sal",328.00,1372.35,1.60,33.20,6.33,95.10,1.63,414.00,35.10,528.00,0
"Molho, p/ salada, c/ salsa, vinagre de maçã, azeite de oliva, c/ sal",320.00,1338.88,1.29,33.10,4.66,80.60,1.64,412.00,22.50,529.00,0
"Molho, soja, shoyu",283.00,1184.07,22.50,8.50,29.50,14.60,0.50,0.00,0.00,5025.00,1
"Morango, cru",30.15,126.14,0.89,0.31,6.82,10.90,0.32,3.00,63.60,0.00,0
"Morango, suco natural (néctar), c/ açúcar refinado ",35.00,146.44,0.43,0.20,8.22,7.85,0.15,4.47,34.90,6.10,2
"Morango, suco natural (néctar), s/ açúcar ",17.00,71.13,0.46,0.22,3.58,8.41,0.16,4.89,38.20,06.01,0
Mortadela,268.82,1124.74,11.95,21.65,5.82,66.55,1.47,24.55,0.00,1212.00,2
"Mostarda, folha, crua",18.11,75.76,2.11,0.17,3.24,68.18,1.10,907.00,38.55,2.88,0
"Nabo, cru",18.19,76.09,1.20,0.05,4.15,42.39,0.22,0.00,9.55,2.46,0
Nata,195.00,815.88,2.70,19.31,3.66,96.00,0.04,178.00,0.80,40.00,0
Nectarina,44.00,184.10,01.06,0.32,10.55,6.00,0.28,73.60,5.40,0.00,0
"Nêspera, crua",42.54,177.98,0.31,0.00,11.53,19.69,0.15,0.00,3.16,0.00,0
"Noz, crua",620.06,2594.33,13.97,59.36,18.36,105.31,02.04,12.40,0.00,5.00,0
Nuggets de frango,273.02,1142.32,16.24,15.63,15.91,9.85,1.36,4.22,0.00,704.38,2
"Óleo, algodão, Gossypium ssp",900.00,3765.60,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0
"Óleo, de babaçu",884.00,3698.66,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0
"Óleo, de canola",884.00,3698.66,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0
"Óleo, de girassol",884.00,3698.66,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0
"Óleo, de milho",884.00,3698.66,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0
"Óleo, de pequi",884.00,3698.66,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0
"Óleo, de soja",884.00,3698.66,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0
Orégano,306.00,1280.30,11.00,10.25,64.43,1576.00,44.00,345.17,50.00,15.00,0
"Ovo, de codorna, inteiro, cru",176.89,740.12,13.69,12.68,0.77,78.73,3.35,305.17,0.00,129.00,0
"Ovo, de galinha, inteiro, cru",143.11,598.78,13.03,8.90,1.64,42.02,1.56,78.83,0.00,168.00,0
"Ovo, galinha, clara, desidratada, pasteurizada",346.00,1447.66,78.00,0.35,7.66,38.90,0.49,0.00,0.00,1125.00,0
"Ovo, galinha, gema, desidratada, pasteurizada",638.00,2669.39,30.00,54.00,8.00,287.00,9.47,436.00,0.00,148.00,0
"Ovo, galinha, integral, desidratada, pasteurizada",554.00,2317.94,44.00,38.00,9.00,166.00,6.16,0.00,0.00,661.00,0
"Paçoca, amendoim",486.93,2037.30,16.00,26.08,52.38,22.48,1.13,2.00,0.00,167.00,2
Palma,41.95,175.52,1.35,3.10,3.28,164.00,0.50,0.00,5.30,20.00,0
Palmito in natura cru ,28.00,117.15,2.52,0.62,4.62,58.00,3.13,0.00,7.90,426.00,0
"Palmito, juçara, em conserva",23.20,97.07,1.79,0.40,4.33,58.29,0.30,0.00,1.98,513.82,3
"Palmito, pupunha, em conserva",29.43,123.14,2.46,0.45,5.51,32.44,0.18,0.00,8.66,562.69,3
Pamonha,171.00,715.46,2.60,4.80,30.70,4.00,0.40,0.00,0.00,132.00,0
"Pamonha, barra para cozimento, pré-cozida",171.00,715.46,2.60,4.80,30.70,4.00,0.40,0.00,0.00,132.00,0
Pão de hambúrguer ,279.00,1167.34,9.50,4.33,49.45,138.00,3.32,0.00,0.00,479.00,2
Pão de queijo pronto para o consumo,363.00,1518.79,5.10,24.60,34.20,102.00,0.30,61.00,0.00,773.00,3
Pão doce,355.23,1486.28,5.15,13.08,55.83,32.49,02.09,95.85,0.05,207.79,2
"Pão, aveia, forma",343.09,1435.47,12.35,5.69,59.57,108.69,4.73,0.00,0.00,605.76,2
"Pão, de queijo, assado",363.00,1518.79,5.10,24.60,34.20,102.00,0.30,0.00,0.00,773.00,3
"Pão, de soja",308.73,1291.71,11.34,3.58,56.51,90.24,3.33,0.00,0.00,662.54,3
"Pão, glúten, forma",252.99,1058.53,11.95,2.73,44.12,155.72,5.71,0.00,0.00,22.05,2
"Pão, milho, forma",292.01,1221.78,8.30,3.11,56.40,77.85,03.04,0.00,0.00,506.64,2
"Pão, trigo, forma, integral",253.19,1059.36,9.43,3.65,49.94,131.76,2.99,0.00,0.00,506.10,2
"Pão, trigo, francês",299.81,1254.41,7.95,3.10,58.65,15.75,1.00,2.99,0.00,647.67,3
"Pão, trigo, sovado",310.96,1301.08,8.40,2.84,61.45,51.62,2.27,0.00,0.00,430.79,3
"Pão, trigo/centeio, preto, forma",250.00,1046.00,10.10,2.71,49.10,130.00,2.93,0.00,0.00,497.00,2
"Pastel (queijo, carne, palmito, etc.)",319.81,1338.09,10.38,15.68,33.51,18.34,2.48,19.18,1.19,413.20,2
"Pastel, massa crua",310.00,1297.04,6.90,5.50,57.40,13.00,1.10,0.00,0.00,1344.00,2
"Patê (fígado, calabresa, frango, presunto, etc.)",326.00,1363.98,14.10,28.50,2.20,26.00,6.40,8300.00,0.00,860.00,2
"Pé-de-moleque, amendoim",503.19,2105.35,13.16,28.05,54.73,27.11,1.26,0.00,0.00,16.00,2
"Peixe, água doce, tilápia, filé, cru, Oreochromis niloticus",94.00,393.30,18.20,2.31,0.01,10.00,0.56,0.00,0.00,52.00,0
"Peixe, água salgada, sardinha, conserva, c/ molho de tomate ",140.00,585.76,18.80,7.12,0.05,450.00,3.60,0.00,0.00,163.00,2
"Pepino, cru",9.53,39.89,0.87,0.00,02.04,9.62,0.15,4.00,4.99,0.00,0
"Pequi, cru",204.97,857.58,2.34,17.97,12.97,32.44,0.27,0.00,8.28,0.00,0
"Pêra, Park, crua",60.59,253.50,0.24,0.23,16.07,8.71,0.32,0.00,2.36,0.98,0
"Pêra, Williams, crua",53.31,223.05,0.57,0.11,14.02,8.28,0.09,0.00,2.83,0.00,0
"Peru, congelado, cru",93.72,392.13,18.08,1.83,0.00,9.88,0.87,0.00,0.00,711.00,0
"Pescada, branca, crua",110.88,463.91,16.26,4.59,0.00,15.74,0.16,3.00,0.00,76.17,0
"Pescada, filé, cru",107.21,448.55,16.65,4.00,0.00,13.55,0.17,47.86,0.00,77.50,0
"Pescadinha, crua",76.41,319.69,15.48,1.14,0.00,331.60,0.55,0.00,0.00,120.34,0
"Pêssego, Aurora, cru",36.33,151.99,0.83,0.00,9.32,3.23,0.22,0.00,3.25,0.00,0
"Pêssego, enlatado, em calda",63.14,264.19,0.71,0.00,16.88,4.10,0.60,38.00,0.00,3.20,2
Pimenta em pó,255.00,1066.92,10.95,3.26,64.81,437.00,28.86,15.00,21.00,44.00,0
"Pimentão, amarelo, cru",27.93,116.85,1.22,0.44,5.96,9.61,0.41,33.00,201.36,0.00,0
"Pimentão, verde, cru",21.29,89.06,01.05,0.15,4.89,8.76,0.41,38.00,100.21,0.00,0
"Pimentão, vermelho, cru",23.28,97.41,01.04,0.15,5.47,6.37,0.33,68.00,158.21,0.00,0
"Pinha, crua",88.47,370.17,1.49,0.32,22.45,20.88,0.21,0.00,35.90,1.34,0
Pinhão,174.35,729.48,2.98,0.75,43.92,15.77,0.76,3.00,27.69,0.86,0
"Pintado, assado",191.56,801.48,36.45,3.98,0.00,113.54,0.78,7.00,0.00,81.00,0
"Pintado, cru",91.08,381.09,18.56,1.31,0.00,12.00,0.22,0.00,0.00,43.00,0
Pipoca doce ou salgada,468.15,1958.74,6.59,23.28,62.51,8.66,1.37,17.42,0.00,505.54,2
Pirulito,394.00,1648.50,0.00,0.20,98.00,3.00,0.30,0.00,0.00,38.00,1
"Pitanga, crua",41.42,173.28,0.93,0.17,10.24,17.88,0.40,164.00,24.87,1.70,0
"Pitanga, polpa, congelada",19.11,79.94,0.29,0.12,4.76,7.80,0.37,146.00,0.00,05.03,0
"Pitanga, polpa, congelada ",20.00,83.68,0.29,0.13,4.76,7.80,0.38,146.00,0.00,05.03,0
"Polenta, pré-cozida",103.00,430.95,2.30,0.30,23.30,1.00,0.00,0.00,0.00,442.00,0
"Polvilho, doce",351.23,1469.53,0.43,0.00,86.77,27.41,0.51,0.00,0.00,1.58,0
"Porco, bisteca, crua",164.12,686.66,21.50,08.02,0.00,6.11,0.53,0.00,0.00,54.00,0
"Porco, bisteca, frita",311.17,1301.93,33.75,18.52,0.00,69.15,0.82,10.00,0.00,63.00,0
"Porco, costela, crua",255.61,1069.46,18.00,19.82,0.00,14.53,0.90,0.00,0.00,88.00,0
"Porco, lombo, cru",175.63,734.82,22.60,8.77,0.00,4.16,0.47,0.00,0.00,53.00,0
"Porco, orelha, salgada, crua",258.49,1081.53,18.52,19.89,0.00,5.44,1.41,0.00,0.00,616.00,3
"Porco, pernil, cru",186.06,778.46,20.13,11.10,0.00,12.94,0.89,0.00,0.00,102.00,0
"Porco, rabo, salgado, cru",377.42,1579.11,15.58,34.47,0.00,21.63,0.62,0.00,0.00,1158.00,3
"Porquinho, cru",93.02,389.21,20.49,0.61,0.00,25.88,0.39,4.65,0.00,67.00,0
"Presunto, com capa de gordura",127.85,534.92,14.37,6.77,1.40,12.48,0.68,0.00,0.00,1021.00,2
"Presunto, sem capa de gordura",93.74,392.22,14.29,2.71,2.15,23.27,0.83,0.00,0.00,1039.00,2
"Pudim, mistura p/, diet (média diferentes sabores)",364.00,1522.98,1.75,0.89,87.10,49.80,0.06,0.00,0.00,1794.00,1
"Pudim, pó, mistura p/, (média diferentes sabores)",385.00,1610.84,2.65,01.02,91.90,05.01,0.09,0.00,0.00,637.00,1
Queijo colonial,302.00,1263.57,25.96,20.03,3.83,731.00,0.25,133.00,0.00,528.00,0
Queijo de coalho,373.00,1560.63,24.48,30.28,0.68,746.00,0.72,192.00,0.00,536.00,0
Queijo ralado,431.00,1803.30,38.46,28.61,04.06,1109.00,0.90,117.00,0.00,1529.00,0
"Queijo, minas, frescal",264.27,1105.72,17.41,20.18,3.24,579.25,0.93,160.51,0.00,31.00,0
"Queijo, minas, meia cura",320.72,1341.90,21.21,24.61,3.57,695.92,0.22,111.33,0.00,501.00,0
"Queijo, mozarela",329.87,1380.18,22.65,25.18,03.05,875.04,0.31,109.00,0.00,581.00,0
"Queijo, parmesão",452.96,1895.20,35.55,33.53,1.66,991.97,0.53,66.15,0.00,1844.00,0
"Queijo, pasteurizado",303.08,1268.09,9.36,27.44,5.68,323.30,0.27,57.31,0.00,78.00,0
"Queijo, petit suisse, morango",121.00,506.26,5.80,2.80,18.50,731.00,0.10,273.00,0.00,412.00,2
"Queijo, prato",359.88,1505.74,22.66,29.11,1.88,939.99,0.28,122.67,0.00,580.00,0
"Queijo, requeijão, cremoso",256.58,1073.52,9.63,23.44,2.43,259.47,0.12,194.59,0.00,558.00,0
"Queijo, ricota",139.73,584.64,12.60,8.11,3.79,253.24,0.14,52.85,0.00,283.00,0
"Quiabo, cru",29.94,125.27,1.92,0.30,6.37,112.16,0.37,0.00,5.60,0.89,0
Quindim,411.35,1721.08,4.74,24.43,46.30,37.18,1.38,110706.00,0.00,27.00,2
"Quinoa, crua",354.00,1481.14,14.20,06.07,64.20,47.00,4.57,0.00,0.00,5.00,0
Quirera não especificada,62.95,263.38,1.24,0.31,13.50,3.37,0.74,1.83,0.00,05.01,0
"Rabanete, cru",13.74,57.48,1.39,0.07,2.73,20.87,0.35,1.00,9.63,10.99,0
Rapadura,351.96,1472.59,0.99,0.07,90.79,30.49,4.44,0.00,0.00,22.00,2
"Repolho, branco, cru",17.12,71.63,0.88,0.14,3.86,34.55,0.15,13.30,18.72,3.64,0
"Repolho, roxo, cru",30.91,129.32,1.91,0.06,7.20,43.67,0.52,4.00,43.20,2.34,0
"Romã, crua",55.74,233.21,0.40,0.00,15.11,4.75,0.26,0.00,8.12,0.59,0
"Rúcula, crua",13.13,54.95,1.77,0.11,2.22,116.56,0.94,69167.00,46.29,9.42,0
"Sagu, mistura p/, preparada, (média diferentes sabores) ",123.00,514.63,0.00,0.00,30.60,6.88,0.55,0.00,0.00,0.35,1
"Sal, dietético",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23432.00,0
"Sal, grosso",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39943.00,0
Salame,397.84,1664.57,25.81,30.64,2.91,87.02,1.25,0.00,0.00,1574.00,2
"Salmão, sem pele, fresco, cru",169.78,710.37,19.25,9.71,0.00,8.75,0.24,35.00,0.00,64.00,0
"Salsa, crua",33.42,139.85,3.26,0.61,5.71,179.41,3.18,1743.00,51.69,2.30,0
