Descrição dos alimentos,Energia (Kcal),Energia (KJ),Proteína (g),Lipídeos (g),Carboidratos (g),Cálcio (mg),Ferro (mg),Retinol (mcg),Vitamina C (mg),Sódio  (mg),Restrições
"Caju, polpa, congelada",36.57,153.00,0.48,0.15,9.35,0.84,0.15,21.00,119.72,4.16,0
"Caju, polpa, congelado",40.00,167.36,0.49,0.16,9.36,0.84,0.15,21.00,119.00,4.17,0
"Caju, suco concentrado, envasado",45.11,188.73,0.40,0.20,10.73,0.98,0.15,11.00,138.70,45.04,0
Cajuína,45.00,188.28,0.80,0.00,11.50,0.00,0.00,0.00,0.00,15.00,0
"Caldo de carne, tablete",241.00,1008.34,7.80,16.60,15.10,129.00,0.00,0.00,0.00,22180.00,1
"Caldo de galinha, tablete",251.00,1050.18,6.30,20.40,10.60,16.00,0.70,0.00,0.00,22300.00,1
"Camarão, Rio Grande, grande, cozido",90.01,376.62,18.97,1.00,0.00,89.74,1.28,0.00,0.00,366.55,0
"Camarão, Rio Grande, grande, cru",47.18,197.42,9.99,0.50,0.00,51.12,0.67,20.00,0.00,201.13,0
"Camarão, Sete Barbas, sem cabeça, com casca, frito",231.25,967.53,18.39,15.62,2.88,959.70,2.44,0.00,0.00,99.06,0
Cana-de-açúcar,73.58,307.86,0.00,0.05,19.97,5.60,0.00,0.00,0.00,18.34,0
Canela em pó,261.00,1092.02,3.89,3.19,79.80,0.23,38.20,26.00,28.50,26.30,0
"Canjica, branca, crua",357.60,1496.21,7.20,0.97,78.06,1.96,0.32,23438.00,0.00,0.79,0
"Caqui, chocolate, cru",71.35,298.53,0.36,0.07,19.33,17.85,0.10,0.00,29.61,2.18,0
"Cará, cru",95.63,400.13,2.28,0.14,22.95,3.91,0.21,0.00,8.79,0.00,0
"Carambola, crua",45.74,191.38,0.87,0.18,11.48,4.79,0.20,49.00,60.87,04.09,0
"Caranguejo, cozido",82.72,346.11,18.48,0.42,0.00,357.15,2.86,0.00,0.00,360.11,0
Carne de bode/caprino,143.00,598.31,27.10,03.03,0.00,17.00,3.73,0.00,0.00,86.00,0
Carne de caprino,143.00,598.31,27.10,03.03,0.00,17.00,3.73,0.00,0.00,86.00,0
Carne de ovelha,204.00,853.54,28.35,9.17,0.00,8.00,2.20,0.00,0.00,71.00,0
Carne de pato,201.00,840.98,26.14,9.97,0.00,13.00,0.98,29.00,0.00,63.00,0
Carne de sol,313.00,1309.59,26.90,21.90,0.00,13.00,1.90,0.00,0.00,1943.00,0
Carne moída,214.00,895.38,26.62,11.10,0.00,13.00,2.89,0.00,0.00,61.00,0
"Carne, avestruz, crua (média de diferentes cortes)",141.00,589.94,30.10,02.01,0.71,5.27,12.30,0.00,0.00,101.00,0
"Carne, bovina, acém, moído, cru",136.56,571.38,19.42,5.95,0.00,2.61,1.76,2.32,0.00,49.00,0
"Carne, bovina, acém, sem gordura, cru",144.03,602.62,20.82,6.11,0.00,4.72,1.51,2.00,0.00,50.00,0
"Carne, bovina, almôndegas, cruas",189.00,790.78,12.30,11.20,9.80,22.00,1.60,0.00,0.00,621.00,0
"Carne, bovina, bucho, cru",137.30,574.48,20.53,5.50,0.00,09.07,0.47,0.00,0.00,45.00,0
"Carne, bovina, capa de contra-filé, com gordura, crua",216.91,907.55,19.20,14.96,0.00,5.86,1.51,4.00,0.00,58.00,0
"Carne, bovina, capa de contra-filé, sem gordura, crua",131.06,548.37,21.54,4.33,0.00,6.50,02.04,0.00,0.00,79.00,0
"Carne, bovina, charque, cru",248.86,1041.23,22.71,16.84,0.00,15.18,1.53,0.00,0.00,5875.00,0
"Carne, bovina, contra-filé de costela, cru",202.44,847.00,19.80,13.07,0.00,3.16,1.56,3.00,0.00,39.00,0
"Carne, bovina, contra-filé, com gordura, cru",205.86,861.30,21.15,12.81,0.00,3.67,1.31,4.00,0.00,44.00,0
"Carne, bovina, contra-filé, sem gordura, cru",156.62,655.28,24.00,6.00,0.00,4.20,1.68,0.00,0.00,53.00,0
"Carne, bovina, costela, crua",357.72,1496.71,16.71,31.75,0.00,0.00,1.20,5.00,0.00,70.00,0
"Carne, bovina, coxão duro, sem gordura, cru",147.97,619.09,21.51,6.22,0.00,2.95,1.89,2.00,0.00,49.00,0
"Carne, bovina, coxão mole, sem gordura, cru",169.07,707.37,21.23,8.69,0.00,2.99,1.89,3.00,0.00,61.00,0
"Carne, bovina, cupim, cru",221.40,926.33,19.54,15.30,0.00,3.57,1.13,3.00,0.00,47.00,0
"Carne, bovina, fígado, cru",141.05,590.14,20.71,5.36,1.11,4.16,5.63,7936.70,0.00,76.00,0
"Carne, bovina, filé mingnon, sem gordura, cru",142.86,597.74,21.60,5.61,0.00,2.93,1.92,4.00,0.00,49.00,0
"Carne, bovina, flanco, sem gordura, cru",141.46,591.87,20.00,6.22,0.00,2.81,1.58,2.00,0.00,54.00,0
"Carne, bovina, fraldinha, com gordura, crua",220.72,923.51,17.58,16.15,0.00,3.11,1.54,5.00,0.00,51.00,0
"Carne, bovina, lagarto, cru",134.86,564.27,20.54,5.23,0.00,2.59,1.32,2.00,0.00,54.00,0
"Carne, bovina, língua, crua",215.25,900.61,17.09,15.77,0.00,05.04,1.70,0.00,0.00,73.00,0
"Carne, bovina, maminha, crua",152.77,639.17,20.93,07.03,0.00,2.83,1.15,3.00,0.00,37.00,0
"Carne, bovina, miolo de alcatra, sem gordura, cru",162.87,681.45,21.61,7.83,0.00,3.19,1.97,4.00,0.00,43.00,0
"Carne, bovina, músculo, sem gordura, cru",141.58,592.37,21.56,5.49,0.00,3.64,1.86,2.00,0.00,66.00,0
"Carne, bovina, paleta, com gordura, crua",158.71,664.04,21.41,7.46,0.00,4.36,1.76,0.00,0.00,65.00,0
"Carne, bovina, paleta, sem gordura, crua",140.94,589.70,21.03,5.67,0.00,3.62,1.93,3.00,0.00,66.00,0
"Carne, bovina, patinho, sem gordura, cru",133.47,558.43,21.72,4.51,0.00,3.30,1.78,2.00,0.00,49.00,0
"Carne, bovina, peito, sem gordura, cru",259.28,1084.81,17.56,20.43,0.00,3.94,1.31,4.00,0.00,64.00,0
"Carne, bovina, picanha, com gordura, crua",212.88,890.69,18.82,14.69,0.00,2.42,1.71,3.00,0.00,38.00,0
"Carne, bovina, picanha, sem gordura, crua",133.52,558.66,21.25,4.74,0.00,3.39,2.13,0.00,0.00,61.00,0
"Carne, bovina, seca, crua",312.75,1308.54,19.66,25.37,0.00,14.11,1.33,0.00,0.00,4440.00,0
"Carne, frango, caipira, inteiro, c/ pele, cozida, Gallus gallus",237.00,991.61,23.90,15.70,0.02,16.80,1.66,16.20,1.83,56.10,0
"Carne, frango, caipira, inteiro, s/ pele, cozida, Gallus gallus ",189.00,790.78,29.60,7.71,0.22,66.20,2.12,06.06,0.91,53.30,0
"Caruru, cru",34.03,142.39,3.20,0.59,5.97,455.30,4.46,1939.00,5.36,13.67,0
"Castanha-de-caju, torrada, salgada",570.17,2385.58,18.51,46.28,29.13,32.59,5.22,0.00,0.00,125.00,0
"Castanha-do-Brasil, crua",642.96,2690.16,14.54,63.46,15.08,146.34,2.31,0.00,0.00,1.00,0
"Catalonha, crua",23.89,99.95,1.87,0.28,4.75,56.80,03.08,0.00,7.33,9.39,0
"Catchup, tomate, molho",129.00,539.74,1.74,0.31,29.90,18.00,0.51,101.60,15.10,1114.00,1
"Cebola, crua",39.42,164.93,1.71,0.08,8.85,14.00,0.20,0.00,4.67,0.60,0
"Cebolinha, crua",19.52,81.65,1.87,0.35,3.37,79.85,0.65,279.00,31.78,1.60,0
"Cenoura, crua",30.00,128.00,1.12,0.21,4.56,21.40,0.47,740.00,5.12,11.10,0
"Cereais, milho, flocos, com sal",369.60,1546.41,7.29,1.60,80.84,1.81,0.52,0.00,0.00,271.74,0
"Cereais, milho, flocos, sem sal",363.34,1520.21,6.88,1.18,80.45,1.97,1.69,0.00,0.00,30.97,0
"Cereais, mingau, milho, infantil",394.43,1650.28,6.43,01.09,87.27,218.81,03.03,21.42,109.37,399.40,1
"Cereais, mistura p/ mingau, (média diferentes sabores)",371.00,1552.26,5.19,1.31,86.10,413.00,15.50,0.30,54.80,543.00,1
"Cereais, mistura para vitamina, trigo, cevada e aveia",381.13,1594.66,8.90,2.12,81.62,584.25,12.64,0.00,13.11,1163.26,1
"Cereal matinal, milho",365.35,1528.64,7.16,0.96,83.82,142.92,03.05,36.00,17.29,654.54,0
"Cereal matinal, milho, açúcar",376.56,1575.51,4.74,0.67,88.84,56.42,3.90,31.00,14.55,405.31,1
"Chá (preto, camomila, erva-cidreira, capim-limão, etc.)",1.00,4.18,0.00,0.00,0.30,0.00,0.02,0.00,0.00,3.00,0
Chá mate orgânico,2.80,11.72,0.25,0.00,2.31,4.70,0.15,0.00,0.16,0.27,0
Chambaril,242.00,1012.53,24.22,15.42,0.00,8.00,2.81,0.00,0.00,67.00,0
Chantilly,276.39,1156.42,2.93,24.57,12.36,55.66,0.03,217.56,0.48,45.52,2
"Cheiro verde (50% cebolinha verde, 50% salsa), cru",34.00,142.26,2.79,0.43,5.85,166.00,2.43,0.00,50.10,2.33,0
"Chicória, crua",13.84,57.89,1.14,0.14,2.85,44.83,0.45,0.00,6.54,13.52,0
